ticker,company,cik
AGPU,Axe Compute Inc. Common Stock,1446159.0
AGRZ,Agroz Inc. Ordinary Shares,2009233.0
AGYS,Agilysys Inc. Common Stock (DE),78749.0
AHCO,AdaptHealth Corp. Common Stock,1725255.0
AHG,Akso Health Group ADS,1702318.0
AHMA,Ambitions Enterprise Management Co. L.L.C Class A Ordinary Shares,2010959.0
AIDX,20/20 Biolabs Inc. Common Stock,1139685.0
AIFF,Firefly Neuroscience Inc. Common Stock,803578.0
AIFU,AIFU Inc. Class A Ordinary Share,1413855.0
AIHS,Senmiao Technology Limited Common Stock,1711012.0
AIIO,Robo.ai Inc. Class B Ordinary Shares,1932737.0
AIIOW,Robo.ai Inc. Warrant,1932737.0
AIMD,Ainos Inc. Common Stock,1014763.0
AIMDW,Ainos Inc. Warrants,1014763.0
AIOS,AIOS Tech Inc. Class A Common Shares,1603993.0
AIOT,PowerFleet Inc. Common Stock,1774170.0
AIP,Arteris Inc. Common Stock,1667011.0
AIRE,reAlpha Tech Corp. Common Stock,1859199.0
AIRG,Airgain Inc. Common Stock,1272842.0
AIRJ,AirJoule Technologies Corporation Class A Common Stock,1855474.0
AIRJW,AirJoule Technologies Corporation Warrant,1855474.0
AIRO,AIRO Group Holdings Inc. Common Stock,1927958.0
AIRS,AirSculpt Technologies Inc. Common Stock,1870940.0
AIRT,Air T Inc. Common Stock,353184.0
AIRTP,Air T Inc. Air T Funding Alpha Income Trust Preferred Securities,353184.0
AISP,Airship AI Holdings Inc. Class A Common Stock,1842566.0
AISPW,Airship AI Holdings Inc. Warrants,1842566.0
AIXC,AIxCrypto Holdings Inc. Common Stock,1460702.0
AIXI,XIAO-I Corporation American Depositary Shares,1935172.0
AKAM,Akamai Technologies Inc. Common Stock,1086222.0
AKAN,Akanda Corp. Common Shares,1888014.0
AKBA,Akebia Therapeutics Inc. Common Stock,1517022.0
AKTS,Aktis Oncology Inc. Common stock,2035832.0
AKTX,Akari Therapeutics plc ADS,1541157.0
ALAB,Astera Labs Inc. Common Stock,1736297.0
ALAR,Alarum Technologies Ltd. American Depositary Share,1725332.0
ALBT,Avalon GloboCare Corp. Common Stock,1630212.0
ALCO,Alico Inc. Common Stock,3545.0
ALCY,Alchemy Investments Acquisition Corp 1 Class A Ordinary Shares,1901336.0
ALCYW,Alchemy Investments Acquisition Corp 1 Warrants,1901336.0
ALDFU,Aldel Financial II Inc. Units,2031561.0
ALDFW,Aldel Financial II Inc. Warrants,2031561.0
ALDX,Aldeyra Therapeutics Inc. Common Stock,1341235.0
ALEC,Alector Inc. Common Stock,1653087.0
ALF,Centurion Acquisition Corp. Class A Ordinary Shares,2010930.0
ALFUW,Centurion Acquisition Corp. Warrant,2010930.0
ALGM,Allegro MicroSystems Inc. Common Stock,866291.0
ALGN,Align Technology Inc. Common Stock,1097149.0
ALGS,Aligos Therapeutics Inc. Common Stock,1799448.0
ALGT,Allegiant Travel Company Common Stock,1362468.0
ALHC,Alignment Healthcare Inc. Common Stock,1832466.0
ALISR,Calisa Acquisition Corp Right,2026767.0
ALKS,Alkermes plc Ordinary Shares,1520262.0
ALKT,Alkami Technology Inc. Common Stock,1529274.0
ALLO,Allogene Therapeutics Inc. Common Stock,1737287.0
ALLR,Allarity Therapeutics Inc. Common Stock,1860657.0
ALLT,Allot Ltd. Ordinary Shares,1365767.0
ALM,Almonty Industries Inc. Common Shares,1670061.0
ALMS,Alumis Inc. Common Stock,1847367.0
ALMU,Aeluma Inc. Common Stock,1828805.0
ALNT,Allient Inc. Common Stock,46129.0
ALNY,Alnylam Pharmaceuticals Inc. Common Stock,1178670.0
ALOT,AstroNova Inc. Common Stock,8146.0
ALOVU,Aldabra 4 Liquidity Opportunity Vehicle Inc. Units,2083989.0
ALOY,REalloys Inc. Common Stock,1567900.0
ALPS,ALPS Group Inc Ordinary Share,2025774.0
ALRM,Alarm.com Holdings Inc. Common Stock,1459200.0
ALRS,Alerus Financial Corporation Common Stock,903419.0
ALT,Altimmune Inc. Common Stock,1326190.0
ALTI,AlTi Global Inc. Class A Common Stock,1838615.0
ALTO,Alto Ingredients Inc. Common Stock,778164.0
ALTS,ALT5 Sigma Corporation Common Stock,862861.0
ALVO,Alvotech Ordinary Shares,1898416.0
ALVOW,Alvotech Warrant,1898416.0
ALXO,ALX Oncology Holdings Inc. Common Stock,1810182.0
ALZN,Alzamend Neuro Inc. Common Stock,1677077.0
AMAL,Amalgamated Financial Corp. Common Stock (DE),1823608.0
AMAT,Applied Materials Inc. Common Stock,6951.0
AMBA,Ambarella Inc. Ordinary Shares,1280263.0
AMBR,Amber International Holding Limited American Depositary Shares,1697818.0
AMCI,AMC Robotics Corporation Common Stock,1937891.0
AMCX,AMC Networks Inc. Class A Common Stock,1514991.0
AMD,Advanced Micro Devices Inc. Common Stock,2488.0
AMGN,Amgen Inc. Common Stock,318154.0
AMIX,Autonomix Medical Inc. Common Stock,1617867.0
AMKR,Amkor Technology Inc. Common Stock,1047127.0
